;;Catálogo de indicadores económicos disponibles a consultar;
Código;Código padre;Nombre;Descripción;Indicador;Periodicidad
46726;46724;                         Grupo GF0202 (Defensa Civil);Grupo GF0202 (Defensa Civil);E06.10.18.01.02.02.00.00.00.A.CRC                                     ;Anual
46727;46724;                         Grupo GF0203 (Ayuda ext militar);Grupo GF0203 (Ayuda ext militar);E06.10.18.01.02.03.00.00.00.A.CRC                                     ;Anual
46728;46724;                         Grupo GF0204 (Defensa R&D);Grupo GF0204 (Defensa R&D);E06.10.18.01.02.04.00.00.00.A.CRC                                     ;Anual
46729;46724;                         Grupo GF0205 (Defensa n.e.c);Grupo GF0205 (Defensa n.e.c);E06.10.18.01.02.05.00.00.00.A.CRC                                     ;Anual
46730;44019;                    División GF03 (Seguridad y orden público);División GF03 (Seguridad y orden público);E06.10.18.01.03.00.00.00.00.A.CRC                                     ;Anual
46731;46730;                         Grupo GF0301 (Servicios policiales);Grupo GF0301 (Servicios policiales);E06.10.18.01.03.01.00.00.00.A.CRC                                     ;Anual
46732;46730;                         Grupo GF0302 (Servicios contra incendios);Grupo GF0302 (Servicios contra incendios);E06.10.18.01.03.02.00.00.00.A.CRC                                     ;Anual
46733;46730;                         Grupo GF0303 (Tribunales de justicia);Grupo GF0303 (Tribunales de justicia);E06.10.18.01.03.03.00.00.00.A.CRC                                     ;Anual
46734;46730;                         Grupo GF0304 (Prisiones);Grupo GF0304 (Prisiones);E06.10.18.01.03.04.00.00.00.A.CRC                                     ;Anual
46735;46730;                         Grupo GF0305 (Seguridad y orden público R&D);Grupo GF0305 (Seguridad y orden público R&D);E06.10.18.01.03.05.00.00.00.A.CRC                                     ;Anual
46736;46730;                         Grupo GF0306 (Seguridad y orden público n.e.c);Grupo GF0306 (Seguridad y orden público n.e.c);E06.10.18.01.03.06.00.00.00.A.CRC                                     ;Anual
46737;44019;                    División GF04 (Asuntos económicos);División GF04 (Asuntos económicos);E06.10.18.01.04.00.00.00.00.A.CRC                                     ;Anual
46738;46737;                         Grupo GF0401 (Econ general, asunt com y lab);Grupo GF0401 (Econ general, asunt com y lab);E06.10.18.01.04.01.00.00.00.A.CRC                                     ;Anual
46739;46737;                         Grupo GF0402 (Agricult, silvicult, pesca y caza);Grupo GF0402 (Agricult, silvicult, pesca y caza);E06.10.18.01.04.02.00.00.00.A.CRC                                     ;Anual
46740;46737;                         Grupo GF0403 (Combustible y energía);Grupo GF0403 (Combustible y energía);E06.10.18.01.04.03.00.00.00.A.CRC                                     ;Anual
46741;46737;                         Grupo GF0404 (Minería, manufactura y const);Grupo GF0404 (Minería, manufactura y const);E06.10.18.01.04.04.00.00.00.A.CRC                                     ;Anual
46742;46737;                         Grupo GF0405 (Transporte);Grupo GF0405 (Transporte);E06.10.18.01.04.05.00.00.00.A.CRC                                     ;Anual
46743;46737;                         Grupo GF0406 (Comunicación);Grupo GF0406 (Comunicación);E06.10.18.01.04.06.00.00.00.A.CRC                                     ;Anual
46744;46737;                         Grupo GF0407 (Otras industrias);Grupo GF0407 (Otras industrias);E06.10.18.01.04.07.00.00.00.A.CRC                                     ;Anual
46745;46737;                         Grupo GF0408 (Asuntos económicos R&D);Grupo GF0408 (Asuntos económicos R&D);E06.10.18.01.04.08.00.00.00.A.CRC                                     ;Anual
46746;46737;                         Grupo GF0409 (Asuntos económicos n.e.c);Grupo GF0409 (Asuntos económicos n.e.c);E06.10.18.01.04.09.00.00.00.A.CRC                                     ;Anual
46747;44019;                    División GF05 (Protección Ambiental);División GF05 (Protección Ambiental);E06.10.18.01.05.00.00.00.00.A.CRC                                     ;Anual
46748;46747;                         Grupo GF0501 (Manejo de residuos);Grupo GF0501 (Manejo de residuos);E06.10.18.01.05.01.00.00.00.A.CRC                                     ;Anual
46749;46747;                         Grupo GF0502 (Gestión de aguas residuales);Grupo GF0502 (Gestión de aguas residuales);E06.10.18.01.05.02.00.00.00.A.CRC                                     ;Anual
46750;46747;                         Grupo GF0503 (Reducción de contaminación);Grupo GF0503 (Reducción de contaminación);E06.10.18.01.05.03.00.00.00.A.CRC                                     ;Anual
46751;46747;                         Grupo GF0504 (Protecc por la biodiv y paisaje );Grupo GF0504 (Protecc por la biodiv y paisaje );E06.10.18.01.05.04.00.00.00.A.CRC                                     ;Anual
46752;46747;                         Grupo GF0505 (R&D Protection Ambiental);Grupo GF0505 (R&D Protection Ambiental);E06.10.18.01.05.05.00.00.00.A.CRC                                     ;Anual
46753;46747;                         Grupo GF0506 (Protección ambiental n.e.c);Grupo GF0506 (Protección ambiental n.e.c);E06.10.18.01.05.06.00.00.00.A.CRC                                     ;Anual
46754;44019;                    División GF06 (Vivienda y serv a comunidd);División GF06 (Vivienda y serv a comunidd);E06.10.18.01.06.00.00.00.00.A.CRC                                     ;Anual
46755;46754;                         Grupo GF0601 (Urbanización );Grupo GF0601 (Urbanización );E06.10.18.01.06.01.00.00.00.A.CRC                                     ;Anual
46756;46754;                         Grupo GF0602 (Desarrollo comunitario);Grupo GF0602 (Desarrollo comunitario);E06.10.18.01.06.02.00.00.00.A.CRC                                     ;Anual
46757;46754;                         Grupo GF0603 (Suministro de agua);Grupo GF0603 (Suministro de agua);E06.10.18.01.06.03.00.00.00.A.CRC                                     ;Anual
46758;46754;                         Grupo GF0604 (Alumbrado público);Grupo GF0604 (Alumbrado público);E06.10.18.01.06.04.00.00.00.A.CRC                                     ;Anual
46759;46754;                         Grupo GF0605 (R&D Viviendas y servicios a com);Grupo GF0605 (R&D Viviendas y servicios a com);E06.10.18.01.06.05.00.00.00.A.CRC                                     ;Anual
46760;46754;                         Grupo GF0606 (Protección ambiental n.e.c);Grupo GF0606 (Protección ambiental n.e.c);E06.10.18.01.06.06.00.00.00.A.CRC                                     ;Anual
46761;44019;                    División GF07 (Salud);División GF07 (Salud);E06.10.18.01.07.00.00.00.00.A.CRC                                     ;Anual
46762;46761;                         Grupo GF0701 (Productos medicos, equip y acc);Grupo GF0701 (Productos medicos, equip y acc);E06.10.18.01.07.01.00.00.00.A.CRC                                     ;Anual
46763;46761;                         Grupo GF0702 (Servicios Ambulatorios);Grupo GF0702 (Servicios Ambulatorios);E06.10.18.01.07.02.00.00.00.A.CRC                                     ;Anual
46764;46761;                         Grupo GF0703 (Servicios Hospitalarios);Grupo GF0703 (Servicios Hospitalarios);E06.10.18.01.07.03.00.00.00.A.CRC                                     ;Anual
46765;46761;                         Grupo GF0704 (Servicios de Salud Publica);Grupo GF0704 (Servicios de Salud Publica);E06.10.18.01.07.04.00.00.00.A.CRC                                     ;Anual
46766;46761;                         Grupo GF0705 (Salud R&D);Grupo GF0705 (Salud R&D);E06.10.18.01.07.05.00.00.00.A.CRC                                     ;Anual
46767;46761;                         Grupo GF0706 (Salud n.e.c);Grupo GF0706 (Salud n.e.c);E06.10.18.01.07.06.00.00.00.A.CRC                                     ;Anual
46768;44019;                    División GF08 (Recreación, cultura y religión);División GF08 (Recreación, cultura y religión);E06.10.18.01.08.00.00.00.00.A.CRC                                     ;Anual
46769;46768;                         Grupo GF0801 (Serv de deporte y recreación);Grupo GF0801 (Serv de deporte y recreación);E06.10.18.01.08.01.00.00.00.A.CRC                                     ;Anual
46770;46768;                         Grupo GF0802 (Servicios culturales);Grupo GF0802 (Servicios culturales);E06.10.18.01.08.02.00.00.00.A.CRC                                     ;Anual
46771;46768;                         Grupo GF0803 (Serv de radiodifusión y publicn);Grupo GF0803 (Serv de radiodifusión y publicn);E06.10.18.01.08.03.00.00.00.A.CRC                                     ;Anual
46772;46768;                         Grupo GF0804 (Serv de comunidades religiosas);Grupo GF0804 (Serv de comunidades religiosas);E06.10.18.01.08.04.00.00.00.A.CRC                                     ;Anual
46773;46768;                         Grupo GF0805 (Recreación, cult y relig R&D);Grupo GF0805 (Recreación, cult y relig R&D);E06.10.18.01.08.05.00.00.00.A.CRC                                     ;Anual
46774;46768;                         Grupo GF0806 (Recreación, cult y relig n.e.c);Grupo GF0806 (Recreación, cult y relig n.e.c);E06.10.18.01.08.06.00.00.00.A.CRC                                     ;Anual
46775;44019;                    División GF09 (Educación);División GF09 (Educación);E06.10.18.01.09.00.00.00.00.A.CRC                                     ;Anual
46776;46775;                         Grupo GF0801 (Educ Preescolar y Primaria);Grupo GF0801 (Educ Preescolar y Primaria);E06.10.18.01.09.01.00.00.00.A.CRC                                     ;Anual
46777;46775;                         Grupo GF0802 (Educación Secundaria);Grupo GF0802 (Educación Secundaria);E06.10.18.01.09.02.00.00.00.A.CRC                                     ;Anual
46778;46775;                         Grupo GF0803 (Educ pos-secund y no terciaria);Grupo GF0803 (Educ pos-secund y no terciaria);E06.10.18.01.09.03.00.00.00.A.CRC                                     ;Anual
46779;46775;                         Grupo GF0804 (Educación terciaria);Grupo GF0804 (Educación terciaria);E06.10.18.01.09.04.00.00.00.A.CRC                                     ;Anual
46780;46775;                         Grupo GF0805 (Educ no definible por niv);Grupo GF0805 (Educ no definible por niv);E06.10.18.01.09.05.00.00.00.A.CRC                                     ;Anual
46781;46775;                         Grupo GF0806 (Serv subsidiarios para educación);Grupo GF0806 (Serv subsidiarios para educación);E06.10.18.01.09.06.00.00.00.A.CRC                                     ;Anual
46782;46775;                         Grupo GF0907 (R&D Education);Grupo GF0907 (R&D Education);E06.10.18.01.09.07.00.00.00.A.CRC                                     ;Anual
46783;46775;                         Grupo GF0908 (Educación n.e.c);Grupo GF0908 (Educación n.e.c);E06.10.18.01.09.08.00.00.00.A.CRC                                     ;Anual
46784;44019;                    División GF10 (Protección social);División GF10 (Protección social);E06.10.18.01.10.00.00.00.00.A.CRC                                     ;Anual
46785;46784;                         Grupo GF1001 (Efermedad y discapacidad);Grupo GF1001 (Efermedad y discapacidad);E06.10.18.01.10.01.00.00.00.A.CRC                                     ;Anual
46786;46784;                         Grupo GF1002 (Vejez);Grupo GF1002 (Vejez);E06.10.18.01.10.02.00.00.00.A.CRC                                     ;Anual
46787;46784;                         Grupo GF1003 (Sobrevivientes);Grupo GF1003 (Sobrevivientes);E06.10.18.01.10.03.00.00.00.A.CRC                                     ;Anual
46788;46784;                         Grupo GF1004 (Familia y niños);Grupo GF1004 (Familia y niños);E06.10.18.01.10.04.00.00.00.A.CRC                                     ;Anual
46789;46784;                         Grupo GF1005 (Desempleo);Grupo GF1005 (Desempleo);E06.10.18.01.10.05.00.00.00.A.CRC                                     ;Anual
46790;46784;                         Grupo GF1006 (Viviendas);Grupo GF1006 (Viviendas);E06.10.18.01.10.06.00.00.00.A.CRC                                     ;Anual
46791;46784;                         Grupo GF1007 (Exclusión social n.e.c);Grupo GF1007 (Exclusión social n.e.c);E06.10.18.01.10.07.00.00.00.A.CRC                                     ;Anual
46792;46784;                         Grupo GF1008 (R&D Protección social);Grupo GF1008 (R&D Protección social);E06.10.18.01.10.08.00.00.00.A.CRC                                     ;Anual
46793;46784;                         Grupo GF1009 (Protección social n.e.c);Grupo GF1009 (Protección social n.e.c);E06.10.18.01.10.09.00.00.00.A.CRC                                     ;Anual
44029;43830;          Otras transf corrientes a cargo del subs gob central (2);Otras transf corrientes a cargo del subs gob central (2);E06.10.19.00.00.00.00.00.00.A.CRC                                     ;Anual
44030;44029;               Sector S13 - Gobierno General;Sector S13 - Gobierno General;E06.10.19.01.00.00.00.00.00.A.CRC                                     ;Anual
44031;44030;                    División GF01 (Servicios públicos generales);División GF01 (Servicios públicos generales);E06.10.19.01.01.00.00.00.00.A.CRC                                     ;Anual
44032;44031;                         Grupo GF0101 (Org Ejecutivo y Legislativo, asun fisc-fin);Grupo GF0101 (Org Ejecutivo y Legislativo, asun fisc-fin);E06.10.19.01.01.01.00.00.00.A.CRC                                     ;Anual
44033;44031;                         Grupo GF0102 (Ayuda económica Extranjera);Grupo GF0102 (Ayuda económica Extranjera);E06.10.19.01.01.02.00.00.00.A.CRC                                     ;Anual
44034;44031;                         Grupo GF0103 (Servicios generales);Grupo GF0103 (Servicios generales);E06.10.19.01.01.03.00.00.00.A.CRC                                     ;Anual
44035;44031;                         Grupo GF0104 (Investigación básica);Grupo GF0104 (Investigación básica);E06.10.19.01.01.04.00.00.00.A.CRC                                     ;Anual
44036;44031;                         Grupo GF0105 (Servicios públicos generales (R&D);Grupo GF0105 (Servicios públicos generales (R&D);E06.10.19.01.01.05.00.00.00.A.CRC                                     ;Anual
44037;44031;                         Grupo GF0106 (Servicios públicos gen n.e.c );Grupo GF0106 (Servicios públicos gen n.e.c );E06.10.19.01.01.06.00.00.00.A.CRC                                     ;Anual
44038;44031;                         Grupo GF0107 (Transacciones deuda púb);Grupo GF0107 (Transacciones deuda púb);E06.10.19.01.01.07.00.00.00.A.CRC                                     ;Anual
44039;44031;                         Grupo GF0108 (Transf de caractr gen entre niv Gob);Grupo GF0108 (Transf de caractr gen entre niv Gob);E06.10.19.01.01.08.00.00.00.A.CRC                                     ;Anual
46794;44030;                    División GF02 (Defensa);División GF02 (Defensa);E06.10.19.01.02.00.00.00.00.A.CRC                                     ;Anual
46795;46794;                         Grupo GF0201 (Defensa Militar);Grupo GF0201 (Defensa Militar);E06.10.19.01.02.01.00.00.00.A.CRC                                     ;Anual
46796;46794;                         Grupo GF0202 (Defensa Civil);Grupo GF0202 (Defensa Civil);E06.10.19.01.02.02.00.00.00.A.CRC                                     ;Anual
46797;46794;                         Grupo GF0203 (Ayuda ext militar);Grupo GF0203 (Ayuda ext militar);E06.10.19.01.02.03.00.00.00.A.CRC                                     ;Anual
46798;46794;                         Grupo GF0204 (Defensa R&D);Grupo GF0204 (Defensa R&D);E06.10.19.01.02.04.00.00.00.A.CRC                                     ;Anual
46799;46794;                         Grupo GF0205 (Defensa n.e.c);Grupo GF0205 (Defensa n.e.c);E06.10.19.01.02.05.00.00.00.A.CRC                                     ;Anual
46800;44030;                    División GF03 (Seguridad y orden público);División GF03 (Seguridad y orden público);E06.10.19.01.03.00.00.00.00.A.CRC                                     ;Anual
46801;46800;                         Grupo GF0301 (Servicios policiales);Grupo GF0301 (Servicios policiales);E06.10.19.01.03.01.00.00.00.A.CRC                                     ;Anual
46802;46800;                         Grupo GF0302 (Servicios contra incendios);Grupo GF0302 (Servicios contra incendios);E06.10.19.01.03.02.00.00.00.A.CRC                                     ;Anual
46803;46800;                         Grupo GF0303 (Tribunales de justicia);Grupo GF0303 (Tribunales de justicia);E06.10.19.01.03.03.00.00.00.A.CRC                                     ;Anual
46804;46800;                         Grupo GF0304 (Prisiones);Grupo GF0304 (Prisiones);E06.10.19.01.03.04.00.00.00.A.CRC                                     ;Anual
46805;46800;                         Grupo GF0305 (Seguridad y orden público R&D);Grupo GF0305 (Seguridad y orden público R&D);E06.10.19.01.03.05.00.00.00.A.CRC                                     ;Anual
46806;46800;                         Grupo GF0306 (Seguridad y orden público n.e.c);Grupo GF0306 (Seguridad y orden público n.e.c);E06.10.19.01.03.06.00.00.00.A.CRC                                     ;Anual
46807;44030;                    División GF04 (Asuntos económicos);División GF04 (Asuntos económicos);E06.10.19.01.04.00.00.00.00.A.CRC                                     ;Anual
46808;46807;                         Grupo GF0401 (Econ general, asunt com y lab);Grupo GF0401 (Econ general, asunt com y lab);E06.10.19.01.04.01.00.00.00.A.CRC                                     ;Anual
46809;46807;                         Grupo GF0402 (Agricult, silvicult, pesca y caza);Grupo GF0402 (Agricult, silvicult, pesca y caza);E06.10.19.01.04.02.00.00.00.A.CRC                                     ;Anual
46810;46807;                         Grupo GF0403 (Combustible y energía);Grupo GF0403 (Combustible y energía);E06.10.19.01.04.03.00.00.00.A.CRC                                     ;Anual
46811;46807;                         Grupo GF0404 (Minería, manufactura y const);Grupo GF0404 (Minería, manufactura y const);E06.10.19.01.04.04.00.00.00.A.CRC                                     ;Anual
46812;46807;                         Grupo GF0405 (Transporte);Grupo GF0405 (Transporte);E06.10.19.01.04.05.00.00.00.A.CRC                                     ;Anual
46813;46807;                         Grupo GF0406 (Comunicación);Grupo GF0406 (Comunicación);E06.10.19.01.04.06.00.00.00.A.CRC                                     ;Anual
46814;46807;                         Grupo GF0407 (Otras industrias);Grupo GF0407 (Otras industrias);E06.10.19.01.04.07.00.00.00.A.CRC                                     ;Anual
46815;46807;                         Grupo GF0408 (Asuntos económicos R&D);Grupo GF0408 (Asuntos económicos R&D);E06.10.19.01.04.08.00.00.00.A.CRC                                     ;Anual
46816;46807;                         Grupo GF0409 (Asuntos económicos n.e.c);Grupo GF0409 (Asuntos económicos n.e.c);E06.10.19.01.04.09.00.00.00.A.CRC                                     ;Anual
46817;44030;                    División GF05 (Protección Ambiental);División GF05 (Protección Ambiental);E06.10.19.01.05.00.00.00.00.A.CRC                                     ;Anual
46818;46817;                         Grupo GF0501 (Manejo de residuos);Grupo GF0501 (Manejo de residuos);E06.10.19.01.05.01.00.00.00.A.CRC                                     ;Anual
46819;46817;                         Grupo GF0502 (Gestión de aguas residuales);Grupo GF0502 (Gestión de aguas residuales);E06.10.19.01.05.02.00.00.00.A.CRC                                     ;Anual
46820;46817;                         Grupo GF0503 (Reducción de contaminación);Grupo GF0503 (Reducción de contaminación);E06.10.19.01.05.03.00.00.00.A.CRC                                     ;Anual
46821;46817;                         Grupo GF0504 (Protecc por la biodiv y paisaje );Grupo GF0504 (Protecc por la biodiv y paisaje );E06.10.19.01.05.04.00.00.00.A.CRC                                     ;Anual
46822;46817;                         Grupo GF0505 (R&D Protection Ambiental);Grupo GF0505 (R&D Protection Ambiental);E06.10.19.01.05.05.00.00.00.A.CRC                                     ;Anual
46823;46817;                         Grupo GF0506 (Protección ambiental n.e.c);Grupo GF0506 (Protección ambiental n.e.c);E06.10.19.01.05.06.00.00.00.A.CRC                                     ;Anual
46824;44030;                    División GF06 (Vivienda y serv a comunidd);División GF06 (Vivienda y serv a comunidd);E06.10.19.01.06.00.00.00.00.A.CRC                                     ;Anual
46825;46824;                         Grupo GF0601 (Urbanización );Grupo GF0601 (Urbanización );E06.10.19.01.06.01.00.00.00.A.CRC                                     ;Anual
46826;46824;                         Grupo GF0602 (Desarrollo comunitario);Grupo GF0602 (Desarrollo comunitario);E06.10.19.01.06.02.00.00.00.A.CRC                                     ;Anual
46827;46824;                         Grupo GF0603 (Suministro de agua);Grupo GF0603 (Suministro de agua);E06.10.19.01.06.03.00.00.00.A.CRC                                     ;Anual
46828;46824;                         Grupo GF0604 (Alumbrado público);Grupo GF0604 (Alumbrado público);E06.10.19.01.06.04.00.00.00.A.CRC                                     ;Anual
46829;46824;                         Grupo GF0605 (R&D Viviendas y servicios a com);Grupo GF0605 (R&D Viviendas y servicios a com);E06.10.19.01.06.05.00.00.00.A.CRC                                     ;Anual
46830;46824;                         Grupo GF0606 (Protección ambiental n.e.c);Grupo GF0606 (Protección ambiental n.e.c);E06.10.19.01.06.06.00.00.00.A.CRC                                     ;Anual
46831;44030;                    División GF07 (Salud);División GF07 (Salud);E06.10.19.01.07.00.00.00.00.A.CRC                                     ;Anual
46832;46831;                         Grupo GF0701 (Productos medicos, equip y acc);Grupo GF0701 (Productos medicos, equip y acc);E06.10.19.01.07.01.00.00.00.A.CRC                                     ;Anual
46833;46831;                         Grupo GF0702 (Servicios Ambulatorios);Grupo GF0702 (Servicios Ambulatorios);E06.10.19.01.07.02.00.00.00.A.CRC                                     ;Anual
46834;46831;                         Grupo GF0703 (Servicios Hospitalarios);Grupo GF0703 (Servicios Hospitalarios);E06.10.19.01.07.03.00.00.00.A.CRC                                     ;Anual
46835;46831;                         Grupo GF0704 (Servicios de Salud Publica);Grupo GF0704 (Servicios de Salud Publica);E06.10.19.01.07.04.00.00.00.A.CRC                                     ;Anual
46836;46831;                         Grupo GF0705 (Salud R&D);Grupo GF0705 (Salud R&D);E06.10.19.01.07.05.00.00.00.A.CRC                                     ;Anual
46837;46831;                         Grupo GF0706 (Salud n.e.c);Grupo GF0706 (Salud n.e.c);E06.10.19.01.07.06.00.00.00.A.CRC                                     ;Anual
46838;44030;                    División GF08 (Recreación, cultura y religión);División GF08 (Recreación, cultura y religión);E06.10.19.01.08.00.00.00.00.A.CRC                                     ;Anual
46839;46838;                         Grupo GF0801 (Serv de deporte y recreación);Grupo GF0801 (Serv de deporte y recreación);E06.10.19.01.08.01.00.00.00.A.CRC                                     ;Anual
46840;46838;                         Grupo GF0802 (Servicios culturales);Grupo GF0802 (Servicios culturales);E06.10.19.01.08.02.00.00.00.A.CRC                                     ;Anual
46841;46838;                         Grupo GF0803 (Serv de radiodifusión y publicn);Grupo GF0803 (Serv de radiodifusión y publicn);E06.10.19.01.08.03.00.00.00.A.CRC                                     ;Anual
46842;46838;                         Grupo GF0804 (Serv de comunidades religiosas);Grupo GF0804 (Serv de comunidades religiosas);E06.10.19.01.08.04.00.00.00.A.CRC                                     ;Anual
46843;46838;                         Grupo GF0805 (Recreación, cult y relig R&D);Grupo GF0805 (Recreación, cult y relig R&D);E06.10.19.01.08.05.00.00.00.A.CRC                                     ;Anual
46844;46838;                         Grupo GF0806 (Recreación, cult y relig n.e.c);Grupo GF0806 (Recreación, cult y relig n.e.c);E06.10.19.01.08.06.00.00.00.A.CRC                                     ;Anual
46845;44030;                    División GF09 (Educación);División GF09 (Educación);E06.10.19.01.09.00.00.00.00.A.CRC                                     ;Anual
46846;46845;                         Grupo GF0801 (Educ Preescolar y Primaria);Grupo GF0801 (Educ Preescolar y Primaria);E06.10.19.01.09.01.00.00.00.A.CRC                                     ;Anual
46847;46845;                         Grupo GF0802 (Educación Secundaria);Grupo GF0802 (Educación Secundaria);E06.10.19.01.09.02.00.00.00.A.CRC                                     ;Anual
46848;46845;                         Grupo GF0803 (Educ pos-secund y no terciaria);Grupo GF0803 (Educ pos-secund y no terciaria);E06.10.19.01.09.03.00.00.00.A.CRC                                     ;Anual
46849;46845;                         Grupo GF0804 (Educación terciaria);Grupo GF0804 (Educación terciaria);E06.10.19.01.09.04.00.00.00.A.CRC                                     ;Anual
46850;46845;                         Grupo GF0805 (Educ no definible por niv);Grupo GF0805 (Educ no definible por niv);E06.10.19.01.09.05.00.00.00.A.CRC                                     ;Anual
46851;46845;                         Grupo GF0806 (Serv subsidiarios para educación);Grupo GF0806 (Serv subsidiarios para educación);E06.10.19.01.09.06.00.00.00.A.CRC                                     ;Anual
46852;46845;                         Grupo GF0907 (R&D Education);Grupo GF0907 (R&D Education);E06.10.19.01.09.07.00.00.00.A.CRC                                     ;Anual
46853;46845;                         Grupo GF0908 (Educación n.e.c);Grupo GF0908 (Educación n.e.c);E06.10.19.01.09.08.00.00.00.A.CRC                                     ;Anual
46854;44030;                    División GF10 (Protección social);División GF10 (Protección social);E06.10.19.01.10.00.00.00.00.A.CRC                                     ;Anual
46855;46854;                         Grupo GF1001 (Efermedad y discapacidad);Grupo GF1001 (Efermedad y discapacidad);E06.10.19.01.10.01.00.00.00.A.CRC                                     ;Anual
46856;46854;                         Grupo GF1002 (Vejez);Grupo GF1002 (Vejez);E06.10.19.01.10.02.00.00.00.A.CRC                                     ;Anual
46857;46854;                         Grupo GF1003 (Sobrevivientes);Grupo GF1003 (Sobrevivientes);E06.10.19.01.10.03.00.00.00.A.CRC                                     ;Anual
46858;46854;                         Grupo GF1004 (Familia y niños);Grupo GF1004 (Familia y niños);E06.10.19.01.10.04.00.00.00.A.CRC                                     ;Anual
46859;46854;                         Grupo GF1005 (Desempleo);Grupo GF1005 (Desempleo);E06.10.19.01.10.05.00.00.00.A.CRC                                     ;Anual
46860;46854;                         Grupo GF1006 (Viviendas);Grupo GF1006 (Viviendas);E06.10.19.01.10.06.00.00.00.A.CRC                                     ;Anual
46861;46854;                         Grupo GF1007 (Exclusión social n.e.c);Grupo GF1007 (Exclusión social n.e.c);E06.10.19.01.10.07.00.00.00.A.CRC                                     ;Anual
46862;46854;                         Grupo GF1008 (R&D Protección social);Grupo GF1008 (R&D Protección social);E06.10.19.01.10.08.00.00.00.A.CRC                                     ;Anual
46863;46854;                         Grupo GF1009 (Protección social n.e.c);Grupo GF1009 (Protección social n.e.c);E06.10.19.01.10.09.00.00.00.A.CRC                                     ;Anual
44040;43830;          Otras transf corrientes a cargo del subs gob estado (2);Otras transf corrientes a cargo del subs gob estado (2);E06.10.20.00.00.00.00.00.00.A.CRC                                     ;Anual
44041;44040;               Sector S13 - Gobierno General;Sector S13 - Gobierno General;E06.10.20.01.00.00.00.00.00.A.CRC                                     ;Anual
44042;44041;                    División GF01 (Servicios públicos generales);División GF01 (Servicios públicos generales);E06.10.20.01.01.00.00.00.00.A.CRC                                     ;Anual
44043;44042;                         Grupo GF0101 (Org Ejecutivo y Legislativo, asun fisc-fin);Grupo GF0101 (Org Ejecutivo y Legislativo, asun fisc-fin);E06.10.20.01.01.01.00.00.00.A.CRC                                     ;Anual
44044;44042;                         Grupo GF0102 (Ayuda económica Extranjera);Grupo GF0102 (Ayuda económica Extranjera);E06.10.20.01.01.02.00.00.00.A.CRC                                     ;Anual
44045;44042;                         Grupo GF0103 (Servicios generales);Grupo GF0103 (Servicios generales);E06.10.20.01.01.03.00.00.00.A.CRC                                     ;Anual
44046;44042;                         Grupo GF0104 (Investigación básica);Grupo GF0104 (Investigación básica);E06.10.20.01.01.04.00.00.00.A.CRC                                     ;Anual
44047;44042;                         Grupo GF0105 (Servicios públicos generales (R&D);Grupo GF0105 (Servicios públicos generales (R&D);E06.10.20.01.01.05.00.00.00.A.CRC                                     ;Anual
44048;44042;                         Grupo GF0106 (Servicios públicos gen n.e.c );Grupo GF0106 (Servicios públicos gen n.e.c );E06.10.20.01.01.06.00.00.00.A.CRC                                     ;Anual
44049;44042;                         Grupo GF0107 (Transacciones deuda púb);Grupo GF0107 (Transacciones deuda púb);E06.10.20.01.01.07.00.00.00.A.CRC                                     ;Anual
44050;44042;                         Grupo GF0108 (Transf de caractr gen entre niv Gob);Grupo GF0108 (Transf de caractr gen entre niv Gob);E06.10.20.01.01.08.00.00.00.A.CRC                                     ;Anual
46864;44041;                    División GF02 (Defensa);División GF02 (Defensa);E06.10.20.01.02.00.00.00.00.A.CRC                                     ;Anual
46865;46864;                         Grupo GF0201 (Defensa Militar);Grupo GF0201 (Defensa Militar);E06.10.20.01.02.01.00.00.00.A.CRC                                     ;Anual
46866;46864;                         Grupo GF0202 (Defensa Civil);Grupo GF0202 (Defensa Civil);E06.10.20.01.02.02.00.00.00.A.CRC                                     ;Anual
46867;46864;                         Grupo GF0203 (Ayuda ext militar);Grupo GF0203 (Ayuda ext militar);E06.10.20.01.02.03.00.00.00.A.CRC                                     ;Anual
46868;46864;                         Grupo GF0204 (Defensa R&D);Grupo GF0204 (Defensa R&D);E06.10.20.01.02.04.00.00.00.A.CRC                                     ;Anual
46869;46864;                         Grupo GF0205 (Defensa n.e.c);Grupo GF0205 (Defensa n.e.c);E06.10.20.01.02.05.00.00.00.A.CRC                                     ;Anual
46870;44041;                    División GF03 (Seguridad y orden público);División GF03 (Seguridad y orden público);E06.10.20.01.03.00.00.00.00.A.CRC                                     ;Anual
46871;46870;                         Grupo GF0301 (Servicios policiales);Grupo GF0301 (Servicios policiales);E06.10.20.01.03.01.00.00.00.A.CRC                                     ;Anual
46872;46870;                         Grupo GF0302 (Servicios contra incendios);Grupo GF0302 (Servicios contra incendios);E06.10.20.01.03.02.00.00.00.A.CRC                                     ;Anual
46873;46870;                         Grupo GF0303 (Tribunales de justicia);Grupo GF0303 (Tribunales de justicia);E06.10.20.01.03.03.00.00.00.A.CRC                                     ;Anual
46874;46870;                         Grupo GF0304 (Prisiones);Grupo GF0304 (Prisiones);E06.10.20.01.03.04.00.00.00.A.CRC                                     ;Anual
46875;46870;                         Grupo GF0305 (Seguridad y orden público R&D);Grupo GF0305 (Seguridad y orden público R&D);E06.10.20.01.03.05.00.00.00.A.CRC                                     ;Anual
